ISO code;Population;Value;Year
PRI;PuertoRico;6.6;2020
HND;Honduras;3.9;2020
TUN;Tunisia;2.9;2020
BHS;Bahamas;1.5;2020
MLI;Mali;0.56;2020
HRV;Croatia;10.1;2020
ECU;Ecuador;4.7;2020
STP;SaoTomeandPrincipe;0.91;2020
IRL;Ireland;5.1;2020
GBR;UnitedKingdom;6.4;2020
BOL;Bolivia,PlurinationalStateof;2.4;2020
MDA;RepublicofMoldova;3.1;2020
FIN;Finland;6.2;2020
VNM;VietNam;4.7;2020
JOR;Jordan;3.5;2020
WSM;Samoa;2.1;2020
BGR;Bulgaria;6.3;2020
NLD;TheNetherlands;7.6;2020
GMB;TheRepublicoftheGambia;0.57;2020
SDN;Sudan;2.0;2020
LBN;Lebanon;4.3;2020
CPV;CaboVerde;1.4;2020
NOR;Norway;5.7;2020
GTM;Guatemala;3.4;2020
THA;Thailand;4.4;2020
AZE;Azerbaijan;3.0;2020
MDG;Madagascar;1.7;2020
COM;Comoros;0.23;2020
POL;Poland;8.2;2020
CZE;Czechia;7.5;2020
ROU;Romania;5.6;2020
IND;India;2.2;2020
UGA;Uganda;1.00;2020
ARM;Armenia;4.2;2020
MRT;Mauritania;0.69;2020
ETH;Ethiopia;2.3;2020
SRB;Serbia;7.0;2020
CIV;Côted'Ivoire;0.63;2020
BFA;BurkinaFaso;1.4;2020
BRA;Brazil;3.5;2020
MOZ;Mozambique;1.4;2020
PYF;FrenchPolynesia;3.6;2020
ZAF;SouthAfrica;2.1;2020
KOR;Korea,Republicof;3.5;2020
BLR;Belarus;6.5;2020
NZL;NewZealand;8.0;2020
GHA;Ghana;1.2;2020
SWE;Sweden;7.4;2020
AFG;Afghanistan;1.7;2020
LBR;Liberia;0.60;2020
TCD;Chad;1.2;2020
PNG;PapuaNewGuinea;2.6;2020
HTI;Haiti;2.3;2020
ARE;UnitedArabEmirates;1.8;2020
AUT;Austria;7.7;2020
MDV;Maldives;1.5;2020
CRI;CostaRica;4.1;2020
TLS;Timor-Leste;2.1;2020
DOM;DominicanRepublic;3.7;2020
LCA;SaintLucia;2.1;2020
IRQ;Iraq;3.6;2020
EGY;Egypt;3.5;2020
BTN;Bhutan;1.7;2020
MNG;Mongolia;1.3;2020
FJI;Fiji;2.7;2020
SVK;Slovakia;9.8;2020
KAZ;Kazakhstan;2.9;2020
VEN;Venezuela,BolivarianRepublicof;3.3;2020
BRN;BruneiDarussalam;3.3;2020
NPL;Nepal;1.4;2020
GEO;Georgia;4.6;2020
SSD;SouthSudan;0.98;2020
LAO;LaoPeople'sDemocraticRepublic;3.9;2020
CAN;Canada;6.7;2020
NGA;Nigeria;1.1;2020
ZMB;Zambia;0.64;2020
GUA;Guam;3.6;2020
TJK;Tajikistan;1.0;2020
AGO;Angola;0.82;2020
LUX;Luxembourg;5.2;2020
COL;Colombia;4.2;2020
PHL;Philippines;3.7;2020
CYP;Cyprus;8.4;2020
REU;France,LaRéunion;5.6;2020
ISL;Iceland;4.1;2020
TKM;Turkmenistan;2.3;2020
BGD;Bangladesh;1.1;2020
MTQ;France,Martinique;9.4;2020
GNQ;EquatorialGuinea;1.1;2020
SEN;Senegal;0.61;2020
ITA;Italy;9.1;2020
USA;UnitedStatesofAmerica;5.9;2020
BWA;Botswana;0.82;2020
MAR;Morocco;2.8;2020
GUF;FrenchGuiana;1.3;2020
SOM;Somalia;2.2;2020
PRK;Korea,DemocraticRepublicof;4.0;2020
BDI;Burundi;1.2;2020
VUT;Vanuatu;2.6;2020
DEU;Germany;9.8;2020
SWZ;Eswatini;0.85;2020
LVA;Latvia;10.8;2020
LKA;SriLanka;2.4;2020
PAN;Panama;3.8;2020
GUY;Guyana;2.3;2020
TTO;TrinidadandTobago;4.2;2020
AUS;Australia;6.5;2020
MYS;Malaysia;4.1;2020
COD;Congo,DemocraticRepublicof;1.1;2020
GNB;Guinea-Bissau;0.40;2020
DNK;Denmark;8.8;2020
RWA;Rwanda;1.9;2020
IRN;Iran,IslamicRepublicof;4.3;2020
MKD;NorthMacedonia;4.1;2020
BEL;Belgium;9.5;2020
MEX;Mexico;3.4;2020
EST;Estonia;9.2;2020
SGP;Singapore;4.4;2020
JPN;Japan;6.1;2020
UZB;Uzbekistan;2.6;2020
SLB;SolomonIslands;1.8;2020
NAM;Namibia;1.4;2020
GAB;Gabon;1.1;2020
ESP;Spain;6.8;2020
KGZ;Kyrgyzstan;1.9;2020
CMR;Cameroon;0.89;2020
NER;Niger;1.1;2020
YEM;Yemen;2.6;2020
GLP;France,Guadeloupe;2.8;2020
SYR;SyrianArabRepublic;4.3;2020
DZA;Algeria;2.1;2020
LTU;Lithuania;10.7;2020
CHN;China;3.7;2020
PER;Peru;4.7;2020
QAT;Qatar;1.8;2020
HUN;Hungary;8.0;2020
TUR;Turkey;4.8;2020
BHR;Bahrain;2.2;2020
MLT;Malta;4.5;2020
CUB;Cuba;4.7;2020
SLV;ElSalvador;6.1;2020
SAU;SaudiArabia;3.0;2020
ISR;Israel;6.4;2020
TZA;Tanzania,UnitedRepublicof;0.71;2020
BIH;BosniaandHerzegovina;5.2;2020
MNE;Montenegro;7.6;2020
FRA;France;8.8;2020
SVN;Slovenia;10.5;2020
KEN;Kenya;2.2;2020
MMR;Myanmar;2.1;2020
NCL;France,NewCaledonia;5.6;2020
PSE;GazaStripandWestBank;3.0;2020
SUR;Suriname;4.1;2020
LSO;Lesotho;0.55;2020
CAF;CentralAfricanRepublic;1.3;2020
PAK;Pakistan;2.4;2020
GIN;Guinea;0.44;2020
TGO;Togo;0.89;2020
ARG;Argentina;4.2;2020
MWI;Malawi;0.51;2020
COG;Congo,Republicof;1.2;2020
PRT;Portugal;8.0;2020
BEN;Benin;1.8;2020
RUS;RussianFederation;5.3;2020
IDN;Indonesia;3.3;2020
UKR;Ukraine;4.2;2020
BRB;Barbados;8.8;2020
MUS;Mauritius;4.2;2020
ERI;Eritrea;2.3;2020
SLE;SierraLeone;0.63;2020
JAM;Jamaica;3.8;2020
URY;Uruguay;6.2;2020
BLZ;Belize;1.0;2020
OMN;Oman;2.4;2020
DJI;Djibouti;2.8;2020
ZWE;Zimbabwe;1.3;2020
KWT;Kuwait;3.0;2020
KHM;Cambodia;3.2;2020
NIC;Nicaragua;3.8;2020
GRC;Greece;10.6;2020
CHE;Switzerland;5.9;2020
ALB;Albania;4.5;2020
LBY;Libya;3.5;2020
CHL;Chile;4.3;2020
PRY;Paraguay;3.5;2020
