ISO code;Population;Value;Year
PRI;PuertoRico;9.0;2020
HND;Honduras;4.8;2020
TUN;Tunisia;4.6;2020
BHS;Bahamas;2.6;2020
MLI;Mali;0.57;2020
HRV;Croatia;12.6;2020
ECU;Ecuador;5.5;2020
STP;SaoTomeandPrincipe;0;2020
IRL;Ireland;6.7;2020
GBR;UnitedKingdom;9.3;2020
BOL;Bolivia,PlurinationalStateof;4.2;2020
MDA;RepublicofMoldova;4.7;2020
FIN;Finland;8.1;2020
VNM;VietNam;5.1;2020
JOR;Jordan;4.2;2020
WSM;Samoa;2.9;2020
BGR;Bulgaria;8.1;2020
NLD;TheNetherlands;11.4;2020
GMB;TheRepublicoftheGambia;0.58;2020
SDN;Sudan;2.4;2020
LBN;Lebanon;6.1;2020
CPV;CaboVerde;2.5;2020
NOR;Norway;8.4;2020
GTM;Guatemala;3.9;2020
THA;Thailand;5.1;2020
AZE;Azerbaijan;4.5;2020
MDG;Madagascar;2.1;2020
COM;Comoros;0.46;2020
POL;Poland;9.8;2020
CZE;Czechia;9.9;2020
ROU;Romania;7.8;2020
IND;India;2.9;2020
UGA;Uganda;1.4;2020
ARM;Armenia;5.6;2020
MRT;Mauritania;1.1;2020
ETH;Ethiopia;3.2;2020
SRB;Serbia;9.3;2020
CIV;Côted'Ivoire;1.2;2020
BFA;BurkinaFaso;1.3;2020
BRA;Brazil;4.4;2020
MOZ;Mozambique;1.6;2020
PYF;FrenchPolynesia;6.3;2020
ZAF;SouthAfrica;2.8;2020
KOR;Korea,Republicof;4.7;2020
BLR;Belarus;7.6;2020
NZL;NewZealand;10.7;2020
GHA;Ghana;1.3;2020
SWE;Sweden;9.1;2020
AFG;Afghanistan;2.2;2020
LBR;Liberia;0.94;2020
TCD;Chad;1.3;2020
PNG;PapuaNewGuinea;2.9;2020
HTI;Haiti;3.1;2020
ARE;UnitedArabEmirates;1.3;2020
AUT;Austria;10.2;2020
MDV;Maldives;3.5;2020
CRI;CostaRica;5.1;2020
TLS;Timor-Leste;2.4;2020
DOM;DominicanRepublic;5.1;2020
LCA;SaintLucia;3.3;2020
IRQ;Iraq;4.1;2020
EGY;Egypt;4.1;2020
BTN;Bhutan;2.9;2020
MNG;Mongolia;0.93;2020
FJI;Fiji;4.6;2020
SVK;Slovakia;9.7;2020
KAZ;Kazakhstan;3.2;2020
VEN;Venezuela,BolivarianRepublicof;3.7;2020
BRN;BruneiDarussalam;5.7;2020
NPL;Nepal;1.6;2020
GEO;Georgia;7.8;2020
SSD;SouthSudan;0.91;2020
LAO;LaoPeople'sDemocraticRepublic;4.3;2020
CAN;Canada;9.8;2020
NGA;Nigeria;1.4;2020
ZMB;Zambia;1.1;2020
GUA;Guam;3.5;2020
TJK;Tajikistan;1.0;2020
AGO;Angola;1.2;2020
LUX;Luxembourg;8.2;2020
COL;Colombia;5.3;2020
PHL;Philippines;4.3;2020
CYP;Cyprus;12.9;2020
REU;France,LaRéunion;6.2;2020
ISL;Iceland;7.0;2020
TKM;Turkmenistan;2.6;2020
BGD;Bangladesh;1.5;2020
MTQ;France,Martinique;8.7;2020
GNQ;EquatorialGuinea;1.3;2020
SEN;Senegal;0.76;2020
ITA;Italy;11.9;2020
USA;UnitedStatesofAmerica;8.5;2020
BWA;Botswana;0.70;2020
MAR;Morocco;3.9;2020
GUF;FrenchGuiana;4.7;2020
SOM;Somalia;2.9;2020
PRK;Korea,DemocraticRepublicof;4.2;2020
BDI;Burundi;1.3;2020
VUT;Vanuatu;3.2;2020
DEU;Germany;12.7;2020
SWZ;Eswatini;0.70;2020
LVA;Latvia;10.2;2020
LKA;SriLanka;4.1;2020
PAN;Panama;5.0;2020
GUY;Guyana;1.5;2020
TTO;TrinidadandTobago;5.4;2020
AUS;Australia;9.3;2020
MYS;Malaysia;5.0;2020
COD;Congo,DemocraticRepublicof;1.3;2020
