ISO code;Population;Value;Year
PRI;PuertoRico;3;2020
HND;Honduras;4,6;2020
TUN;Tunisia;3;2020
BHS;Bahamas;1,8;2020
MLI;Mali;0,8;2020
HRV;Croatia;4,3;2020
ECU;Ecuador;4,8;2020
STP;SaoTomeandPrincipe;0,92;2020
IRL;Ireland;3;2020
GBR;UnitedKingdom;2,9;2020
BOL;Bolivia,PlurinationalStateof;3,2;2020
MDA;RepublicofMoldova;2,8;2020
FIN;Finland;2,4;2020
VNM;VietNam;4,5;2020
JOR;Jordan;5,3;2020
WSM;Samoa;3;2020
BGR;Bulgaria;3,1;2020
NLD;TheNetherlands;3,3;2020
GMB;TheRepublicoftheGambia;0,66;2020
SDN;Sudan;3,1;2020
LBN;Lebanon;4,9;2020
CPV;CaboVerde;2,5;2020
NOR;Norway;3,1;2020
GTM;Guatemala;4;2020
THA;Thailand;3,4;2020
AZE;Azerbaijan;3,3;2020
MDG;Madagascar;2,8;2020
COM;Comoros;0,4;2020
POL;Poland;3,9;2020
CZE;Czechia;3,5;2020
ROU;Romania;3,4;2020
IND;India;2,6;2020
UGA;Uganda;2,1;2020
ARM;Armenia;3,5;2020
MRT;Mauritania;1,3;2020
ETH;Ethiopia;3,9;2020
SRB;Serbia;4,1;2020
CIV;Côted'Ivoire;1,6;2020
BFA;BurkinaFaso;2,5;2020
BRA;Brazil;3,2;2020
MOZ;Mozambique;1,9;2020
PYF;FrenchPolynesia;4,9;2020
ZAF;SouthAfrica;2,8;2020
KOR;Korea,Republicof;2,2;2020
BLR;Belarus;3,7;2020
NZL;NewZealand;4,2;2020
GHA;Ghana;1,4;2020
SWE;Sweden;3;2020
AFG;Afghanistan;2,4;2020
LBR;Liberia;1,3;2020
TCD;Chad;2,2;2020
PNG;PapuaNewGuinea;3,6;2020
HTI;Haiti;3,2;2020
ARE;UnitedArabEmirates;2,6;2020
AUT;Austria;3,4;2020
MDV;Maldives;3,1;2020
CRI;CostaRica;3,6;2020
TLS;Timor-Leste;2,9;2020
DOM;DominicanRepublic;4,1;2020
LCA;SaintLucia;1,8;2020
IRQ;Iraq;5,6;2020
EGY;Egypt;4,5;2020
BTN;Bhutan;2,2;2020
MNG;Mongolia;1,3;2020
FJI;Fiji;3,7;2020
SVK;Slovakia;5;2020
KAZ;Kazakhstan;2,8;2020
VEN;Venezuela,BolivarianRepublicof;3,3;2020
BRN;BruneiDarussalam;4,3;2020
NPL;Nepal;1,5;2020
GEO;Georgia;3,8;2020
SSD;SouthSudan;1,4;2020
LAO;LaoPeople'sDemocraticRepublic;4,7;2020
CAN;Canada;3,4;2020
NGA;Nigeria;2,2;2020
ZMB;Zambia;1,1;2020
GUA;Guam;2,2;2020
TJK;Tajikistan;1,2;2020
AGO;Angola;1,8;2020
LUX;Luxembourg;2,8;2020
COL;Colombia;4,1;2020
PHL;Philippines;4,3;2020
CYP;Cyprus;5,2;2020
REU;France,LaRéunion;3,4;2020
ISL;Iceland;2,3;2020
TKM;Turkmenistan;2,5;2020
BGD;Bangladesh;1,4;2020
MTQ;France,Martinique;3,1;2020
GNQ;EquatorialGuinea;1,5;2020
SEN;Senegal;1,1;2020
ITA;Italy;3,5;2020
USA;UnitedStatesofAmerica;3,2;2020
BWA;Botswana;0,95;2020
MAR;Morocco;3,1;2020
GUF;FrenchGuiana;3,1;2020
SOM;Somalia;4;2020
PRK;Korea,DemocraticRepublicof;3,6;2020
BDI;Burundi;2;2020
VUT;Vanuatu;3,6;2020
DEU;Germany;3,4;2020
SWZ;Eswatini;0,98;2020
LVA;Latvia;4,3;2020
LKA;SriLanka;2,8;2020
PAN;Panama;3,9;2020
GUY;Guyana;1,9;2020
TTO;TrinidadandTobago;3,7;2020
AUS;Australia;3,4;2020
MYS;Malaysia;4,4;2020
COD;Congo,DemocraticRepublicof;1,9;2020
GNB;Guinea-Bissau;0,88;2020
DNK;Denmark;3,6;2020
RWA;Rwanda;2,4;2020
IRN;Iran,IslamicRepublicof;5,5;2020
MKD;NorthMacedonia;3,1;2020
BEL;Belgium;3,8;2020
MEX;Mexico;3,6;2020
EST;Estonia;3,8;2020
SGP;Singapore;3,1;2020
JPN;Japan;2,4;2020
UZB;Uzbekistan;3;2020
SLB;SolomonIslands;2,6;2020
NAM;Namibia;2,4;2020
GAB;Gabon;1,7;2020
ESP;Spain;2,9;2020
KGZ;Kyrgyzstan;2,6;2020
CMR;Cameroon;1,4;2020
NER;Niger;1,9;2020
YEM;Yemen;3,6;2020
GLP;France,Guadeloupe;3;2020
SYR;SyrianArabRepublic;5,6;2020
DZA;Algeria;2,6;2020
LTU;Lithuania;3,9;2020
CHN;China;3,3;2020
PER;Peru;4,9;2020
QAT;Qatar;3,2;2020
HUN;Hungary;4;2020
TUR;Turkey;4,8;2020
BHR;Bahrain;3;2020
MLT;Malta;1,7;2020
CUB;Cuba;3,2;2020
SLV;ElSalvador;5,5;2020
SAU;SaudiArabia;3,4;2020
ISR;Israel;4;2020
TZA;Tanzania,UnitedRepublicof;1,4;2020
BIH;BosniaandHerzegovina;3,1;2020
MNE;Montenegro;4,3;2020
FRA;France;3,6;2020
SVN;Slovenia;4;2020
KEN;Kenya;3,8;2020
MMR;Myanmar;2,6;2020
NCL;France,NewCaledonia;4;2020
PSE;GazaStripandWestBank;5,2;2020
SUR;Suriname;3,7;2020
LSO;Lesotho;0,48;2020
CAF;CentralAfricanRepublic;2,2;2020
PAK;Pakistan;3,4;2020
GIN;Guinea;0,91;2020
TGO;Togo;1,9;2020
ARG;Argentina;3,7;2020
MWI;Malawi;0,62;2020
COG;Congo,Republicof;2,2;2020
PRT;Portugal;3,4;2020
BEN;Benin;3,4;2020
RUS;RussianFederation;3,3;2020
IDN;Indonesia;4,1;2020
UKR;Ukraine;3,2;2020
BRB;Barbados;4,4;2020
MUS;Mauritius;3,5;2020
ERI;Eritrea;3,5;2020
SLE;SierraLeone;1,1;2020
JAM;Jamaica;3,6;2020
URY;Uruguay;3,4;2020
BLZ;Belize;1,3;2020
OMN;Oman;3,8;2020
DJI;Djibouti;3,4;2020
ZWE;Zimbabwe;1,9;2020
KWT;Kuwait;4;2020
KHM;Cambodia;3,7;2020
NIC;Nicaragua;4,4;2020
GRC;Greece;4,1;2020
CHE;Switzerland;2,8;2020
ALB;Albania;3,5;2020
LBY;Libya;4,3;2020
CHL;Chile;3,3;2020
PRY;Paraguay;4,1;2020
